zip,city,county,SPCS83_Code
77422,Brazoria,Brazoria,4204
77423,Brookshire,Waller,4204
77426,Chappell Hill,Washington,4203
77428,Collegeport,Matagorda,4204
77429,Cypress,Harris,4204
77430,Damon,Brazoria,4204
77431,Danciger,Brazoria,4204
77432,Danevang,Wharton,4204
77433,Cypress,Harris,4204
77434,Eagle Lake,Colorado,4204
77435,East Bernard,Wharton,4204
77436,Egypt,Wharton,4204
77437,El Campo,Wharton,4204
77440,Elmaton,Matagorda,4204
77441,Fulshear,Fort Bend,4204
77442,Garwood,Colorado,4204
77443,Glen Flora,Wharton,4204
77444,Guy,Fort Bend,4204
77445,Hempstead,Waller,4204
77446,Prairie View,Waller,4204
77447,Hockley,Harris,4204
77448,Hungerford,Wharton,4204
77449,Katy,Harris,4204
77450,Katy,Harris,4204
77451,Kendleton,Fort Bend,4204
77452,Kenney,Austin,4204
77453,Lane City,Wharton,4204
77454,Lissie,Wharton,4204
77455,Louise,Wharton,4204
77456,Markham,Matagorda,4204
77457,Matagorda,Matagorda,4204
77458,Midfield,Matagorda,4204
77459,Missouri City,Fort Bend,4204
77460,Nada,Colorado,4204
77461,Needville,Fort Bend,4204
77463,Old Ocean,Brazoria,4204
77464,Orchard,Fort Bend,4204
77465,Palacios,Matagorda,4204
77466,Pattison,Waller,4204
77467,Pierce,Wharton,4204
77468,Pledger,Matagorda,4204
77469,Richmond,Fort Bend,4204
77470,Rock Island,Colorado,4204
77471,Rosenberg,Fort Bend,4204
77473,San Felipe,Austin,4204
77474,Sealy,Austin,4204
77475,Sheridan,Colorado,4204
77476,Simonton,Fort Bend,4204
77477,Stafford,Fort Bend,4204
77478,Sugar Land,Fort Bend,4204
77479,Sugar Land,Fort Bend,4204
77480,Sweeny,Brazoria,4204
77481,Thompsons,Fort Bend,4204
77482,Van Vleck,Matagorda,4204
77483,Wadsworth,Matagorda,4204
77484,Waller,Waller,4204
77485,Wallis,Austin,4204
77486,West Columbia,Brazoria,4204
77487,Sugar Land,Fort Bend,4204
77488,Wharton,Wharton,4204
77489,Missouri City,Fort Bend,4204
77491,Katy,Waller,4204
77492,Katy,Waller,4204
77493,Katy,Harris,4204
77494,Katy,Fort Bend,4204
77496,Sugar Land,Fort Bend,4204
77497,Stafford,Fort Bend,4204
77498,Sugar Land,Fort Bend,4204
77501,Pasadena,Harris,4204
77502,Pasadena,Harris,4204
77503,Pasadena,Harris,4204
77504,Pasadena,Harris,4204
77505,Pasadena,Harris,4204
77506,Pasadena,Harris,4204
77507,Pasadena,Harris,4204
77508,Pasadena,Harris,4204
77510,Santa Fe,Galveston,4204
77511,Alvin,Brazoria,4204
77512,Alvin,Brazoria,4204
77514,Anahuac,Chambers,4204
77515,Angleton,Brazoria,4204
77516,Angleton,Brazoria,4204
77517,Santa Fe,Galveston,4204
77518,Bacliff,Galveston,4204
77519,Batson,Hardin,4203
77520,Baytown,Harris,4204
77521,Baytown,Harris,4204
77522,Baytown,Harris,4204
77523,Baytown,Chambers,4204
77530,Channelview,Harris,4204
77531,Clute,Brazoria,4204
77532,Crosby,Harris,4204
77533,Daisetta,Liberty,4203
77534,Danbury,Brazoria,4204
77535,Dayton,Liberty,4203
77536,Deer Park,Harris,4204
77538,Devers,Liberty,4203
77539,Dickinson,Galveston,4204
77541,Freeport,Brazoria,4204
77542,Freeport,Brazoria,4204
77545,Fresno,Fort Bend,4204
77546,Friendswood,Galveston,4204
77547,Galena Park,Harris,4204
77549,Friendswood,Galveston,4204
77550,Galveston,Galveston,4204
77551,Galveston,Galveston,4204
77552,Galveston,Galveston,4204
77553,Galveston,Galveston,4204
77554,Galveston,Galveston,4204
77555,Galveston,Galveston,4204
77560,Hankamer,Chambers,4204
77561,Hardin,Liberty,4203
77562,Highlands,Harris,4204
